Source	Target	IntType	TrueNNVeri	Weight
miR-1	STAG2	Activate	1	0.104441
miR-1	STARD13	Activate	0	0.452284
miR-1	STATH	Activate	0	0.272016
miR-1	STC2	Activate	0	0.173443
miR-1	STK38L	Activate	0	0.356569
miR-1	STXBP5	Activate	0	0.006328
miR-1	SUSD5	Activate	0	0.100244
miR-1	SVIL	Activate	0	0.179260
miR-1	SYNGR1	Activate	0	0.042609
miR-1	SYNPO2	Activate	0	0.296479
miR-1	SYT17	Activate	0	0.480569
miR-1	TAS2R19	Activate	0	0.425768
miR-1	TBK1	Activate	0	0.137166
miR-1	TBRG1	Activate	0	0.078380
miR-1	TCEANC	Activate	0	0.129680
miR-1	TCF7	Activate	0	0.264201
miR-1	TCF7L2	Activate	0	0.095486
miR-1	TEC	Activate	0	0.078067
miR-1	TENM3	Activate	0	0.121344
miR-1	TEX101	Activate	0	0.309618
miR-1	TGFB3	Activate	0	0.091938
miR-1	THBS1	Activate	1	0.582694
miR-1	THBS2	Activate	0	0.055490
miR-1	THEG	Activate	0	0.136618
miR-1	TIAM1	Activate	0	0.189331
miR-1	TIAM2	Activate	0	0.151021
miR-1	TM4SF20	Activate	0	0.211085
miR-1	TMBIM6	Activate	0	0.170450
miR-1	TMC4	Activate	0	0.101162
miR-1	TMEM106B	Activate	1	0.162037
miR-1	TMEM14E	Activate	0	0.269328
miR-1	TMEM229B	Activate	0	0.018143
miR-1	TMOD2	Activate	1	0.816413
miR-1	TMPRSS4	Activate	0	0.219748
miR-1	TNFRSF19	Activate	0	0.121601
miR-1	TNFSF11	Activate	0	0.287963
miR-1	TRAF5	Activate	0	0.183335
miR-1	TRIM50	Activate	0	0.338355
miR-1	TRPC6	Activate	0	0.018784
miR-1	TRPV3	Activate	0	0.032673
miR-1	TTC26	Activate	0	0.185787
miR-1	TTC9	Activate	0	0.389170
miR-1	TTLL7	Activate	0	0.175943
miR-1	TUBB2A	Activate	0	0.010616
miR-1	TULP4	Activate	0	0.264185
miR-1	TWSG1	Activate	0	0.016143
miR-1	UCHL1	Activate	0	0.244210
miR-1	UGGT2	Activate	1	0.149352
miR-1	ULBP3	Activate	0	0.513684
miR-1	UNC13D	Activate	1	0.936046
miR-1	UNC80	Activate	0	0.102831
miR-1	USB1	Activate	0	0.073037
miR-1	USP6NL	Activate	0	0.256772
miR-1	VCP	Activate	0	0.028034
miR-1	VIPR1	Activate	0	0.123556
miR-1	VWA1	Activate	0	0.269914
miR-1	WBP11	Activate	0	0.012319
miR-1	WDR78	Activate	0	0.181447
miR-1	WDR86	Activate	0	0.173930
miR-1	WHAMMP3	Activate	0	0.318134
miR-1	WTH3DI	Activate	0	0.253023
miR-1	XKR4	Activate	0	0.118723
miR-1	ZC2HC1B	Activate	0	0.043114
miR-1	ZCCHC14	Activate	0	0.005552
miR-1	ZCCHC6	Activate	0	0.023974
miR-1	ZDBF2	Activate	0	0.152454
miR-1	ZKSCAN2	Activate	0	0.024442
miR-1	ZMAT3	Activate	1	0.817611
miR-1	ZNF107	Activate	0	0.292713
miR-1	ZNF182	Activate	0	0.114491
miR-1	ZNF226	Activate	0	0.096062
miR-1	ZNF34	Activate	0	0.141123
miR-1	ZNF407	Activate	0	0.283181
miR-1	ZNF507	Activate	0	0.188517
miR-1	ZNF518A	Activate	0	0.079686
miR-1	ZNF519	Activate	0	0.184243
miR-1	ZNF521	Activate	0	0.219354
miR-1	ZNF621	Activate	0	0.254497
miR-1	ZNF814	Activate	0	0.152964
miR-92a	ABCB11	Activate	0	0.088582
miR-92a	ABCC3	Activate	0	0.110130
miR-92a	ABI3BP	Activate	1	1.101641
miR-92a	ACER3	Activate	0	0.163691
miR-92a	ADARB2	Activate	0	0.180871
miR-92a	ADCY1	Activate	0	0.437129
miR-92a	ADGB	Activate	0	0.016385
miR-92a	AHI1	Activate	0	0.051470
miR-92a	AHSP	Activate	0	0.116966
miR-92a	AIF1L	Activate	0	0.018563
miR-92a	ALOX5	Activate	0	0.126061
miR-92a	AMMECR1	Activate	1	0.834657
miR-92a	AMOT	Activate	0	0.379500
miR-92a	AMPD2	Activate	0	0.107688
miR-92a	ANTXR2	Activate	0	0.035900
miR-92a	APLP2	Activate	0	0.001335
miR-92a	APPL2	Activate	0	0.220358
miR-92a	ARHGDIG	Activate	0	0.227287
miR-92a	ARID1B	Activate	1	0.681556
miR-92a	ARPC5	Activate	0	0.108041
miR-92a	ASIC1	Activate	0	0.122688
miR-92a	ATG16L1	Activate	1	9.153525
miR-92a	ATP10B	Activate	0	0.033609
miR-92a	ATP1A1	Activate	1	0.931458
miR-92a	ATP6V1E2	Activate	0	0.222639
miR-92a	B4GALNT3	Activate	0	0.119179
miR-92a	B4GALT6	Activate	0	0.171503
miR-92a	BAMBI	Activate	0	0.157221
miR-92a	BBS2	Activate	0	0.047204
miR-92a	BCL2L15	Activate	0	0.078285
miR-92a	BFSP1	Activate	0	0.193297
miR-92a	BIRC6	Activate	0	0.312126
miR-92a	BMP4	Activate	0	0.283779
miR-92a	BNIP3L	Inhabit	0	-6.021305
miR-92a	BRD7	Activate	0	0.451828
miR-92a	BRE	Activate	0	0.374943
miR-92a	BRWD1	Activate	0	0.135837
miR-92a	C10ORF54	Activate	0	0.002144
miR-92a	C11ORF24	Activate	1	1.011189
miR-92a	C16ORF71	Activate	0	0.160988
miR-92a	C17ORF67	Activate	0	0.311228
miR-92a	C2ORF15	Activate	0	0.096364
miR-92a	C3ORF52	Activate	0	0.147312
miR-92a	C9ORF47	Activate	1	0.034174
miR-92a	CA13	Activate	0	0.015196
miR-92a	CA4	Activate	0	0.000975
miR-92a	CACNA1B	Activate	0	0.468885
miR-92a	CACNB2	Activate	0	0.175676
miR-92a	CASC1	Activate	0	0.109327
miR-92a	CATSPER1	Activate	0	0.039510
miR-92a	CCDC108	Activate	0	0.090055
miR-92a	CCDC6	Activate	1	0.733860
miR-92a	CCNL1	Activate	0	0.114406
miR-92a	CD200	Activate	0	0.074729
miR-92a	CD207	Activate	0	0.165416
miR-92a	CD84	Activate	0	0.105675
miR-92a	CEACAM5	Activate	0	0.073741
miR-92a	CENPN	Activate	0	0.055613
miR-92a	CES3	Activate	0	0.173720
miR-92a	CHRFAM7A	Activate	0	0.332701
miR-92a	CHRM2	Activate	0	0.001732
miR-92a	CLDN4	Activate	0	0.269570
miR-92a	CLEC4G	Activate	0	0.012315
miR-92a	CNN3	Activate	0	0.320055
miR-92a	CNST	Activate	0	0.093588
miR-92a	COL16A1	Activate	0	0.335207
miR-92a	COL23A1	Activate	0	0.020124
miR-92a	COL28A1	Activate	0	0.276256
miR-92a	COL6A2	Activate	0	0.008193
miR-92a	COL6A3	Activate	0	0.161152
