0	gene	DN	DN	DN	ctrl	ctrl	ctrl
1789	CRLF1	7.633721813	7.810892912	8.124379836	6.090641752	6.968666793	5.549977143
1792	CROCC	11.14542272	10.98071083	10.99350454	10.35700209	10.15987134	10.04152227
1797	CRTC1	9.022645228	8.340740281	8.628263255	7.359310317	7.321026129	7.272396509
1803	CRYAB	13.89213959	13.86247754	13.75637389	13.01341864	13.09731615	13.10704539
1805	CRYBA4	10.31628153	10.36249181	10.53750963	9.567575869	9.637711669	9.964918408
1810	CRYGA	6.803485376	7.087462841	7.23457796	3.678071905	4.906890596	3.700439718
1812	CRYGD	7.569096095	8.334496768	7.729280846	4.786596362	7.155830172	5.277984747
1813	CRYM	10.37123213	10.17467606	10.37547391	8.434211203	8.915580653	6.155830172
1819	CSF1R	9.726558779	10.37460482	10.21286112	7.614709844	8.403438163	8.70286529
1820	CSF2	9.682994584	10.15481811	9.786514685	8.319672121	8.182394353	8.249587556
1824	CSF3R	9.904032432	9.946613905	9.005764882	8.106693791	8.549784668	8.058262372
1826	CSHL1	10.06222562	10.54328901	10.15894539	9.544578117	9.343851933	9.340740281
1843	CSRP3	8.057450272	8.463524373	8.459021704	6.501439145	7.330020516	7.240314329
1848	CST7	7.64385619	8.864495703	9.672071697	7.376776572	7.105384749	7.652486495
1870	CTF1	9.781195762	9.797337288	9.328001662	8.387586566	8.6727789	8.493455201
1875	CTNNA2	7.392317423	6.160879862	7.512937943	5.419538892	5.581953751	4.649615459
1885	CTRB2	8.016808288	7.944858446	6.99095486	6.584962501	6.091699834	6.392317423
1894	CTSG	9.533524415	9.106432078	9.634084983	8.556506055	8.726558779	8.457586084
1895	CTSH	13.07477702	12.81031054	12.78387813	11.67189484	11.50243404	10.67622156
1901	CTSW	10.41161691	10.8460388	9.955504614	8.895726738	9.950555897	9.386078034
1904	CUBN	9.001126665	9.087595436	9.234338449	8.686325432	8.217715411	8.03039126
1914	CUX2	4.958842675	4.968090752	8.338513555	2.510961919	2.40599236	3.62058641
1924	CXCL3	9.217715411	8.54303182	8.616916363	7.010108453	6.590961241	6.699051844
1930	CXCR2	9.74975766	10.25778029	9.522908283	8.64120858	8.48004938	8.518849829
1933	CXCR5	8.909192862	9.468013034	8.94319845	6.513595912	7.633479164	7.902877332
1947	CYFIP2	10.90433356	10.43681563	10.9685228	9.956230937	9.272863023	9.729960561
1953	CYP11B1	8.915879379	8.503627006	8.919012268	7.786596362	8.31083996	7.788555215
1956	CYP17A1	11.08480839	10.98477446	9.835339882	7.755555262	8.075479149	8.921543444
1962	CYP24A1	7.341630009	6.289096702	7.691394579	3.432959407	6.74281467	2.678071905
1963	CYP26A1	8.501638179	7.792139552	7.901168595	7.422905743	7.019590728	5.791814071
1966	CYP2A13	11.57348909	11.19875197	10.06935981	9.045577573	9.996990309	9.329870993
1968	CYP2A6	9.73437092	9.787167969	9.717333699	8.742646278	9.052839719	9.10865513
1975	CYP2C8	8.579315938	8.833364507	9.299093514	6.982423227	7.112700133	6.829722735
1982	CYP3A4	7.388017285	7.818049097	7.218522552	7.02162741	6.455053123	6.088169801
1988	CYP4F11	6.45779126	6.806066226	8.151777655	5.560714954	5.797012978	6.116863758
1989	CYP4F12	11.46694314	11.85763116	11.15627273	10.04848687	10.14134082	9.862637358
1990	CYP4F2	10.4046094	10.66008506	9.729960561	8.538770938	8.753216749	6.504620392
1997	CYTH2	11.11471839	10.55324529	11.23804641	9.843450018	10.27810094	10.13378441
2006	DAGLA	11.42657926	10.7483606	10.34096276	7.061776198	10.09249289	7.220136447
2007	DAO	7.344295908	8.027905997	8.985557354	6.424586226	6.145677455	5.783980414
2011	DAPK2	10.41785251	9.95956732	9.835102979	8.572889668	8.830673649	8.71183902
2025	DCAF4	5.906890596	7.996614715	5.860466259	3.137503524	4.070389328	3.754887502
2029	DCC	5.760220946	5.590961241	4.602884409	3.817623258	3.689299161	4.572889668
2030	DCHS1	8.960291601	10.06191117	9.941194363	7.977852308	8.34251919	8.913787
2044	DDAH1	7.450386479	7.041111535	8.201143732	4.87282876	5.232660757	4.321928095
2061	DDX11	11.02250653	11.2772874	11.36511947	10.31276953	10.57364719	10.47126876
2069	DDX28	8.554396991	8.813781191	8.614341763	8.18214602	7.511357341	6.952450058
2070	DDX39A	9.916476644	10.43045255	10.5177678	9.434419731	8.866042497	9.688250309
2077	DDX51	9.278526818	9.246819677	9.257702043	7.960387758	7.921047088	7.999811761
2095	DEPDC5	10.79010409	10.66127307	10.52698821	9.469845286	9.945151171	9.723376473
2103	DGAT1	11.15393197	11.09605624	10.97096866	9.312429206	10.12541347	10.3834883
2110	DGCR9	9.428988205	8.362820526	9.537994878	7.960001932	7.736063628	8.243173983
2116	DGKQ	8.178415874	6.797012978	6.475733431	5.812498225	6.224966365	5.672425342
2123	DHODH	9.062316027	8.380677507	8.698357406	5.925999419	7.044394119	7.643134662
2176	DLGAP5	8.195249158	9.069046911	7.705977902	5.244125943	6.781359714	4.892391026
2180	DLX4	8.912589991	10.44780646	8.977852308	5.031218731	6.559185866	7.624247146
