incR0	lncipediaID	Case1	Case2	Case3	control1	control2	control3
incR1067	lnc-GADL1-1:1	1.2559764	0.93814045	1.7044623	2.0926874	2.2362099	2.5227482
incR1068	lnc-GALC-11:1	3.5528057	3.2215695	3.0855525	3.908096	4.365659	3.8668544
incR1069	lnc-GALK2-1:1	4.21729	4.546721	4.865915	5.0162177	5.842156	5.0820837
incR1070	lnc-GALNTL2-2:1	4.0739317	4.2172694	4.1663074	4.4373493	5.1341166	4.5042257
incR1071	lnc-GANC-1:1	2.4173298	2.6788254	3.1436894	3.003098	4.0094166	3.9979494
incR1072	lnc-GAS2L3-1:1	1.0570574	1.2666168	1.0647107	2.0869973	1.87081	1.547352
incR1073	lnc-GCK-1:1	3.2169638	3.1055825	3.5680983	3.9211676	4.308115	3.9990242
incR1074	lnc-GCM2-1:1	1.0470599	0.94037116	0.9100231	1.7410069	2.6640034	2.2316985
incR1075	lnc-GFPT2-1:1	5.832958	6.062302	6.1183915	6.528835	6.7407775	6.704126
incR1076	lnc-GGCX-6:1	1.0093639	1.4603884	1.0498887	2.0520504	2.3772635	1.8414054
incR1077	lnc-GIP-3:1	0.8723927	0.8740597	1.4999574	2.1816738	2.5050235	1.9859167
incR1078	lnc-GLB1L2-3:4	2.7897103	2.9246678	2.2904494	3.7241628	3.5873873	4.0096416
incR1079	lnc-GLIPR1-7:1	6.505095	6.9703484	6.9603176	7.241304	7.39614	7.188256
incR1080	lnc-GMDS-12:1	3.4157834	3.554257	2.5096998	4.1782928	4.258677	3.7530046
incR1081	lnc-GMDS-3:6	4.5748725	4.4279027	4.452134	4.7742605	5.0150843	4.931736
incR1082	lnc-GOLGA8A-2:3	1.1046793	1.1632087	1.0657283	1.5097587	2.8739073	1.8160734
incR1083	lnc-GPATCH2-3:1	1.9775153	1.8649042	1.9996885	2.6782205	2.5835967	2.6211045
incR1084	lnc-GPR149-9:1	2.720833	3.0751493	2.8780272	3.357574	3.4653525	3.18552
incR1085	lnc-GPR22-2:1	2.2919457	1.7153031	1.7742265	2.566705	3.0470858	2.7460282
incR1086	lnc-GPR27-13:1	2.4624689	2.670219	2.1491709	3.3816898	3.3685498	3.414346
incR1087	lnc-GPR89B-1:3	1.0338757	1.1589319	2.1344688	2.7302656	3.0173287	2.9439974
